priority,address_id,territory,street,house_number,destination_lat,destination_lon,router_distance_km,router_duration_min,snap_distance_m,detour_factor,coverage_level,best_control_id,anomaly_reasons,expected_information_gain,recommended_manual_action,owner_review_required
HIGH,w302365081,Бендеры,Октябрьская улица,3,46.80987,29.48447,2.3217,3.218,12.76,1.487,UNCOVERED,MY-068,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w302366065,Бендеры,Песчанная улица,9,46.81256,29.48251,1.9926,2.458,59.70,1.582,UNCOVERED,MY-068,DESTINATION_SNAP_GT30M;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w302366069,Бендеры,Песчанная улица,1,46.81224,29.48156,1.9137,2.267,22.67,1.472,UNCOVERED,MY-068,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w302368270,Бендеры,Путейская улица,20,46.8182,29.46616,2.3918,3.895,7.84,1.664,WEAK_COVERAGE,MY-071,STREET_DURATION_CONTINUITY_OUTLIER;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,w302368616,Бендеры,улица Георге Асаке,24,46.81782,29.46582,2.3273,3.708,34.40,1.573,STRONG_COVERAGE,MY-071,DESTINATION_SNAP_GT30M;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w302369880,Бендеры,улица Бородина,1,46.82467,29.46393,5.3291,5.768,16.50,3.641,WEAK_COVERAGE,MY-085,LOCAL_CORRIDOR_DISCONTINUITY;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;UNIQUE_TERMINAL_BRANCH;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,w302370519,Бендеры,улица Дзержинского,ПОСТ ЭЦ 1,46.83129,29.47511,1.2649,2.158,49.16,1.234,WEAK_COVERAGE,MY-072,DESTINATION_SNAP_GT30M;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
CRITICAL,w302370538,Бендеры,улица Дзержинского,6,46.83252,29.47715,1.3950,3.085,30.57,1.312,UNCOVERED,MY-072,DESTINATION_SNAP_GT30M;LOCAL_CORRIDOR_DISCONTINUITY;STREET_DURATION_CONTINUITY_OUTLIER;UNCOVERED,tests an unresolved failure or unique network branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,w302375953,Бендеры,Первомайская улица,20/2,46.81683,29.4685,2.1207,3.122,31.05,1.558,STRONG_COVERAGE,MY-067,DESTINATION_SNAP_GT30M;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w302375977,Бендеры,Дубоссарская улица,7,46.81656,29.46771,2.2615,3.552,11.67,1.584,WEAK_COVERAGE,MY-067,STREET_DURATION_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w302375980,Бендеры,Дубоссарская улица,16-а,46.81688,29.46818,2.2151,3.440,31.58,1.607,WEAK_COVERAGE,MY-067,DESTINATION_SNAP_GT30M;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w302488635,Бендеры,Песчанная улица,2,46.81198,29.48142,1.9096,2.257,7.87,1.436,UNCOVERED,MY-068,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w302490091,Бендеры,Песчанная улица,149,46.8119,29.48019,1.4794,1.587,30.02,1.095,PARTIAL_COVERAGE,MY-068,DESTINATION_SNAP_GT30M;PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w302490098,Бендеры,Песчанная улица,155,46.81196,29.48116,1.8907,2.212,14.35,1.417,UNCOVERED,MY-068,STREET_DURATION_CONTINUITY_OUTLIER;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w302490110,Бендеры,улица Тамары Кручок,157,46.81127,29.48036,1.5475,1.648,25.56,1.091,PARTIAL_COVERAGE,MY-068,LOCAL_CORRIDOR_DISCONTINUITY;PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;UNIQUE_TERMINAL_BRANCH,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w302490111,Бендеры,Песчанная улица,163,46.81135,29.48109,1.7860,2.032,25.57,1.274,UNCOVERED,MY-068,SNAPPED_STREET_NAME_MISMATCH;UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w302490112,Бендеры,улица Тамары Кручок,165,46.81118,29.48102,1.7664,2.010,23.24,1.243,UNCOVERED,MY-068,SNAPPED_STREET_NAME_MISMATCH;UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w302490113,Бендеры,улица Тамары Кручок,167,46.81094,29.48102,1.7401,1.982,27.34,1.202,UNCOVERED,MY-068,SNAPPED_STREET_NAME_MISMATCH;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w302490115,Бендеры,улица Тамары Кручок,177,46.81064,29.48112,1.8338,2.290,13.12,1.239,UNCOVERED,MY-068,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w302492930,Бендеры,улица Георге Асаке,5а,46.81705,29.46658,2.3876,3.853,49.78,1.624,STRONG_COVERAGE,MY-071,DESTINATION_SNAP_GT30M;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w302537732,Бендеры,Коммунистическая улица,155,46.81308,29.47339,1.8066,2.127,49.01,1.280,UNCOVERED,MY-082,DESTINATION_SNAP_GT30M;UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w302537733,Бендеры,Херсонская улица,153,46.81307,29.47374,1.7888,2.278,71.95,1.279,UNCOVERED,MY-082,DESTINATION_SNAP_GT60M;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303139372,Бендеры,улица Чапаева,9а,46.81113,29.47439,2.3370,3.408,15.42,1.492,WEAK_COVERAGE,MY-034,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w303140590,Бендеры,улица Некрасова,109,46.81173,29.47632,2.1826,3.028,32.32,1.508,STRONG_COVERAGE,MY-082,DESTINATION_SNAP_GT30M;STRONG_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303140602,Бендеры,улица Карбышева,52,46.8134,29.47221,1.8535,2.277,8.67,1.295,UNCOVERED,MY-082,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303140603,Бендеры,улица Карбышева,50,46.81346,29.47198,1.8721,2.320,10.94,1.304,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303140607,Бендеры,Коммунистическая улица,62,46.81246,29.47176,1.9229,2.253,34.46,1.251,UNCOVERED,MY-082,DESTINATION_SNAP_GT30M;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303140612,Бендеры,улица 5 Декабря,2,46.81228,29.47112,2.3084,3.307,11.55,1.460,UNCOVERED,MY-082,STREET_DURATION_CONTINUITY_OUTLIER;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303140620,Бендеры,переулок 5 Декабря,1,46.81189,29.47071,2.1529,2.678,24.91,1.317,UNCOVERED,MY-082,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303140633,Бендеры,улица Чапаева,9,46.81092,29.47362,2.2806,3.183,17.42,1.414,WEAK_COVERAGE,MY-034,STREET_DURATION_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303317646,Бендеры,улица Чапаева,96,46.81013,29.47567,2.3120,3.235,12.87,1.418,WEAK_COVERAGE,MY-034,LOCAL_CORRIDOR_DISCONTINUITY;SNAPPED_STREET_NAME_MISMATCH;STREET_DISTANCE_CONTINUITY_OUTLIER;UNIQUE_TERMINAL_BRANCH;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303317648,Бендеры,улица Чапаева,25,46.81043,29.47561,2.3941,3.310,18.37,1.495,WEAK_COVERAGE,MY-034,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303317662,Бендеры,Фруктовая улица,1,46.81032,29.47186,2.2155,2.713,22.28,1.277,UNCOVERED,MY-082,STREET_DURATION_CONTINUITY_OUTLIER;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303317663,Бендеры,Фруктовая улица,3,46.81039,29.47204,2.2261,2.740,34.01,1.293,UNCOVERED,MY-082,DESTINATION_SNAP_GT30M;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303317666,Бендеры,Фруктовая улица,5,46.81026,29.47215,2.2386,2.770,22.99,1.294,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303319325,Бендеры,Фруктовая улица,11,46.81021,29.47295,2.3015,2.920,33.51,1.349,UNCOVERED,MY-082,DESTINATION_SNAP_GT30M;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303319329,Бендеры,Фруктовая улица,13,46.81012,29.47329,2.3290,2.987,29.85,1.367,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303319352,Бендеры,улица Чапаева,30,46.8102,29.47531,2.3775,3.272,11.63,1.456,WEAK_COVERAGE,MY-034,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303319362,Бендеры,Фруктовая улица,23,46.80981,29.47448,2.4257,3.218,17.43,1.429,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303319366,Бендеры,Фруктовая улица,27,46.80969,29.47497,2.2992,3.285,12.53,1.356,UNCOVERED,MY-068,STREET_DISTANCE_CONTINUITY_OUTLIER;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303319367,Бендеры,Фруктовая улица,29,46.80971,29.4752,2.2826,3.245,18.46,1.353,UNCOVERED,MY-068,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303319368,Бендеры,Фруктовая улица,14,46.80944,29.47499,2.2917,3.267,14.35,1.332,UNCOVERED,MY-068,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303319369,Бендеры,Фруктовая улица,16,46.80931,29.47511,2.2796,3.238,26.42,1.317,UNCOVERED,MY-068,UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303323451,Бендеры,улица Карбышева,25,46.8141,29.47094,1.9755,2.570,15.21,1.382,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303323454,Бендеры,улица Карбышева,23,46.8142,29.47079,1.9908,2.607,19.61,1.394,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303323458,Бендеры,Рыбницкий переулок,15,46.81451,29.46999,2.0667,2.850,17.14,1.431,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,w303323476,Бендеры,улица Некрасова,49,46.81368,29.46999,2.0942,2.752,30.78,1.385,STRONG_COVERAGE,MY-082,DESTINATION_SNAP_GT30M;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303323480,Бендеры,Рыбницкий переулок,45,46.81375,29.46951,2.1613,2.948,9.50,1.412,WEAK_COVERAGE,MY-082,LOCAL_CORRIDOR_DISCONTINUITY;STREET_DISTANCE_CONTINUITY_OUTLIER;UNIQUE_TERMINAL_BRANCH;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303833028,Бендеры,улица Карбышева,13а,46.81516,29.46883,2.1793,3.058,18.59,1.495,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303833032,Бендеры,Рыбницкий переулок,43,46.8139,29.4693,2.1130,2.957,12.47,1.382,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303833068,Бендеры,улица Карбышева,8,46.81514,29.46816,2.2423,3.328,8.95,1.498,WEAK_COVERAGE,MY-082,LOCAL_CORRIDOR_DISCONTINUITY;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;UNIQUE_TERMINAL_BRANCH;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303833080,Бендеры,Дубоссарская улица,5,46.81663,29.46747,2.2612,3.550,8.24,1.572,WEAK_COVERAGE,MY-067,STREET_DISTANCE_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w303836261,Бендеры,улица Некрасова,23,46.8149,29.46748,2.3438,3.413,15.13,1.508,WEAK_COVERAGE,MY-082,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,w303836262,Бендеры,улица Некрасова,25,46.81476,29.4677,2.3419,3.405,7.62,1.510,WEAK_COVERAGE,MY-082,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303839514,Бендеры,Рыбницкий переулок,28,46.81424,29.46981,2.0617,2.835,7.67,1.398,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303841861,Бендеры,улица Некрасова,24,46.81397,29.46826,2.2476,3.237,8.25,1.423,STRONG_COVERAGE,MY-082,STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303841864,Бендеры,улица Некрасова,29,46.81471,29.46804,2.3536,3.452,31.46,1.533,WEAK_COVERAGE,MY-082,DESTINATION_SNAP_GT30M;SNAPPED_STREET_NAME_MISMATCH;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303841865,Бендеры,улица Некрасова,31,46.81449,29.46805,2.2750,3.187,18.93,1.466,STRONG_COVERAGE,MY-082,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303849100,Бендеры,улица 5 Декабря,10,46.81263,29.47036,2.2455,2.930,28.27,1.418,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303912209,Бендеры,улица Некрасова,1/Б,46.81575,29.4655,2.5124,3.757,16.20,1.553,STRONG_COVERAGE,MY-082,HOUSE_NUMBER_DISAGREEMENT;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303912215,Бендеры,улица Некрасова,6,46.81522,29.46582,2.5088,3.877,21.86,1.538,STRONG_COVERAGE,MY-082,STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303915659,Бендеры,Кишинёвская улица,12,46.8315,29.47231,7.1232,7.685,29.51,6.030,STRONG_COVERAGE,MY-002,ROBUST_HIGH_DETOUR_FACTOR;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303915660,Бендеры,Кишинёвская улица,14,46.83163,29.47257,7.1602,9.145,26.89,6.077,STRONG_COVERAGE,MY-002,ROBUST_HIGH_DETOUR_FACTOR;STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w303915693,Бендеры,улица Тургенева,13,46.81851,29.46309,4.6535,5.277,12.59,2.842,WEAK_COVERAGE,MY-069,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303915696,Бендеры,улица Тургенева,15,46.81837,29.46312,4.6684,5.365,16.60,2.845,UNCOVERED,MY-069,UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303915697,Бендеры,улица Тургенева,17,46.81823,29.46308,4.6841,5.403,14.77,2.839,UNCOVERED,MY-069,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w303915700,Бендеры,Киевская улица,20,46.81816,29.46374,4.7127,5.763,32.02,2.933,WEAK_COVERAGE,MY-045,DESTINATION_SNAP_GT30M;WEAK_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303915701,Бендеры,улица Тургенева,19,46.81807,29.46306,4.7020,5.447,14.62,2.836,UNCOVERED,MY-069,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w303915709,Бендеры,улица Тургенева,27,46.81735,29.46297,4.5533,5.218,13.78,2.683,WEAK_COVERAGE,MY-045,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303917471,Бендеры,улица Титова,10/2,46.84294,29.47122,3.7270,5.552,13.81,1.617,WEAK_COVERAGE,MY-004,UNIQUE_TERMINAL_BRANCH;UTURN;WEAK_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303981459,Бендеры,Школьный переулок,5,46.81424,29.46667,2.4305,3.797,20.34,1.474,WEAK_COVERAGE,MY-082,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303981462,Бендеры,Школьный переулок,1,46.81443,29.46636,2.4622,3.873,18.48,1.490,WEAK_COVERAGE,MY-082,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303985839,Бендеры,улица Чапаева,182,46.81132,29.47113,2.0807,2.503,7.87,1.247,WEAK_COVERAGE,MY-034,LOCAL_CORRIDOR_DISCONTINUITY;UNIQUE_TERMINAL_BRANCH;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,w303985846,Бендеры,переулок Некрасова,190,46.8108,29.47005,2.2884,3.155,50.89,1.298,WEAK_COVERAGE,MY-082,DESTINATION_SNAP_GT30M;WEAK_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303985847,Бендеры,переулок Некрасова,194,46.81026,29.47017,2.2097,2.913,9.69,1.223,WEAK_COVERAGE,MY-082,LOCAL_CORRIDOR_DISCONTINUITY;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;UNIQUE_TERMINAL_BRANCH;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303985849,Бендеры,переулок 5 Декабря,9,46.81201,29.47002,2.1952,2.780,7.02,1.327,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303985851,Бендеры,улица 5 Декабря,24,46.81196,29.46943,2.2518,3.010,15.69,1.335,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303985866,Бендеры,улица 5 Декабря,25,46.81129,29.46901,2.3285,3.195,10.92,1.319,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w303985879,Бендеры,Школьный переулок,12,46.81334,29.46771,2.3283,3.560,12.72,1.404,STRONG_COVERAGE,MY-082,STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w303985891,Бендеры,тупик Некрасова,12,46.81272,29.46718,2.3498,3.408,20.86,1.354,WEAK_COVERAGE,MY-082,STREET_DISTANCE_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w304008912,Бендеры,Фруктовая улица,12,46.8095,29.47462,2.4436,3.262,13.90,1.416,UNCOVERED,MY-075,STREET_DISTANCE_CONTINUITY_OUTLIER;UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w304008917,Бендеры,улица Урицкого,15,46.80914,29.47453,2.5159,3.573,12.64,1.426,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w304053793,Бендеры,улица 50 лет ВЛКСМ,52б,46.83022,29.46416,5.7543,5.920,27.38,3.583,PARTIAL_COVERAGE,MY-085,PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w304087545,Бендеры,Школьный переулок,10,46.81385,29.46671,2.3976,3.718,8.06,1.432,WEAK_COVERAGE,MY-082,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w304087553,Бендеры,тупик Некрасова,5,46.81351,29.46591,2.4877,3.738,15.00,1.425,WEAK_COVERAGE,MY-082,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w304087558,Бендеры,тупик Некрасова,2,46.8135,29.46544,2.5425,3.983,10.63,1.434,WEAK_COVERAGE,MY-082,STREET_DURATION_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w304087564,Бендеры,переулок 5 Декабря,2,46.81129,29.4697,2.1973,2.857,31.20,1.268,UNCOVERED,MY-082,DESTINATION_SNAP_GT30M;UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w304087565,Бендеры,переулок 5 Декабря,4,46.81117,29.46983,2.1973,2.857,28.57,1.264,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w304087566,Бендеры,переулок 5 Декабря,6,46.81114,29.47004,2.1973,2.857,23.57,1.269,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w304087567,Бендеры,переулок 5 Декабря,8,46.81106,29.47016,2.1973,2.857,32.34,1.267,UNCOVERED,MY-082,DESTINATION_SNAP_GT30M;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w304087568,Бендеры,переулок Некрасова,29а,46.8111,29.46902,2.3684,3.348,15.01,1.330,WEAK_COVERAGE,MY-082,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w304087569,Бендеры,переулок Некрасова,29,46.811,29.46909,2.3565,3.318,11.65,1.319,WEAK_COVERAGE,MY-082,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w304088444,Бендеры,Киевская улица,45,46.81801,29.45996,4.3595,4.627,20.29,2.319,STRONG_COVERAGE,MY-069,SNAPPED_STREET_NAME_MISMATCH;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w304088445,Бендеры,улица Бориса Главана,47,46.81789,29.45986,4.3446,4.612,16.42,2.297,STRONG_COVERAGE,MY-069,SNAPPED_STREET_NAME_MISMATCH;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
